Feature ID	Frequency	No. of Samples Observed In
fc3c73149474eb7a8512622cd9501c89	322.0	1
2561183f1e1ed26ec4289c703664fd27	321.0	1
ab0b2d18d84a9784cca770c285e56029	320.0	3
6060ab7de2d1453c33078b430a7b987d	317.0	1
22b3c70cdfb1714224e1bf8a6314bee9	315.0	6
5c211fd3941a65d625dafb8fec6f20d5	314.0	4
e59bbe6ee7ed0ed1ef1756cdf2d8f630	313.0	1
db1e70d7da230f7de3ddf916929ddfeb	310.0	3
32cc17e12d08b4011ab0ec8c393fd12c	309.0	4
73cd1c10175eb846badd2f34bd86dd08	306.0	8
ba1e3f0141c4d62b33ce0f4aab67e09e	305.0	3
cd4eb72eb2b9bc9a06ed47ca6db0c73c	304.0	3
1b5d50e4ae6a2cb153f3b2ca04699419	304.0	12
90172aa13aa16cc5776df1ea10660ae1	304.0	3
b0b4dde3991e8da02f84cf77e5a35d63	297.0	1
651895d0c2c7a66a35b3a6a7d2ee15e5	297.0	2
932965d7ed2166402b521fea7a1029a4	296.0	8
953e993a5be713c206ed211b03ea4d07	294.0	3
4850a238b7fbbd5ffa204c5a5a396f2c	287.0	4
a5a4b4d58bdd795871acf39629c9e584	285.0	10
4a0b292ba716582f9af46694458c0b9b	284.0	2
31d816e59f48032aa89408dafd950533	281.0	3
2bd9309f2f97cae51d18d06ea1ca519a	279.0	17
df131b9e3b51f11d7d6ab39a04f74a0c	278.0	3
821130ba72e86c335c55c269f31db0d0	274.0	4
98143d3e3cd541c0028117de28d58c8c	273.0	7
79c28c77327e355fb81dce890c619793	272.0	8
b2574632cd105083065793a728d40c81	268.0	5
7b6b1061c5015981f17a06c394aad1b6	268.0	8
4a11095c40e228abba0818d973b25da9	267.0	2
b726627e18f29e0da5289f81ca294f92	267.0	6
c2214f5c48ce111caeeb8f928ca5b648	266.0	18
3f9afe17105dd0c33bf41ce08824f362	265.0	17
5225de25bf8902d5a02c4af6e90cb5e8	255.0	12
aae4c4ed528ae16ec417df816699cfdb	254.0	3
8703e95fbf4d5c8fd088fb98382c5703	254.0	5
b4c3ed4c8c7356fad3cc555eed1e5bde	253.0	2
19715b1593c19aa6d35a4d1e3cd09374	252.0	6
d68fecb0ebc69df1d29d487a52def3a7	248.0	9
4bd01f90398375480101204bbcdd2ceb	244.0	7
20e5e4f379b70d0a78ea6b1957180261	244.0	4
b07af5f863fb0c1c6672a4b4980faa2d	242.0	6
96cf4779be686036f92ee15e58b72d52	241.0	5
689a7bbbb932d7be2fa6b6f63dd0870e	239.0	1
66d52980b89962a872d986af08dc5f08	238.0	2
612fa252045b7cb91b6e94be79b263ca	237.0	2
cd2378c490495c3b8cf61afd44872b33	237.0	2
7e3b8b7b0d15a65eafaf2c871d55906b	236.0	1
4bdbaae586dedec92168f93266de0979	236.0	1
0b4aeb45916a24fd10e3655fe6481966	235.0	1
0bdf3f2cad45e6fe99d591955fa73d65	234.0	2
5c4fd1d0cbe7b43a93c2ed9286af0847	233.0	5
fa7eda6956a9c674f73d1ab0e7e2964f	232.0	6
d515ae0a0b58aa13869a5966a80c98a9	231.0	10
6783b50a3968c78af556fe40622005e7	229.0	1
7c3d7711fd15460714ece118b35c0576	228.0	13
8a80b5cf4ed21ee1617aa27d0542d4a2	228.0	4
2f948c6973ed0be6082ebb9e8075823b	227.0	2
3120660c883750285d85c12f7d898f67	225.0	14
5615602cfa7735cf5d9ea26816627683	225.0	2
987a3526deef9e16540125cc3996ac98	224.0	1
0a035a7ec1f4a194dd7fbda3c5660db0	221.0	12
b41c7ba94a59effb92f78b9db681e3b8	218.0	1
786ac804606bfdd5f025ea7dbb73d40f	217.0	2
c9487a3260aac1c2c358a02bf68935bf	215.0	2
dcec5e95ef4b1dc74b121b232d0968af	213.0	3
28304d6ed795ad15759fcac6b3364c8c	213.0	2
f844fb3a434bf8b9cada45482034d41b	212.0	1
4abb86c00851161a3cad815849b79ad4	211.0	1
1b9ab7ba8573cbfe5f1a9f59f0b38ff4	210.0	15
3f6dce06719bb11b6b9bbb8f2c8a5644	210.0	10
ee6f1ad3007b7380824da57876e6c8c3	208.0	6
52d998a538496179968dec55950d1516	207.0	3
6ba2be1b2493b979d86f6cd85a945a42	207.0	2
ea52488235f530227f65a4c6e3b27aab	207.0	3
1a069ea36017c7efc95d851374fa7382	206.0	2
769723e5a9c6312f2ee3ab2781ac8ad6	206.0	4
d66a57b9db06f512e9c5f5e353a5a3dc	206.0	1
c0c1bd1da8389f2cca31828f538f616c	206.0	4
39c746e6698d4935484f50bf45508965	205.0	4
5f25904e073fe5c114cadfde74349518	203.0	8
7a6a394fe7285b50ee54b56f316a3944	203.0	4
1636df577567be4aadea8383b4af2b86	202.0	3
d562f63f002b432f6632e40415b8c57f	201.0	1
91cad3d259141bcf08c404cc8921506b	199.0	2
136c5635e656dd4855eda2af780d50d1	199.0	2
5938289932a707a9b5e06e4e0f6d2eb4	197.0	5
d56a51955fdb459d451efeee630a83ba	197.0	1
139e832c69fb177d68bb0f5cb8594845	195.0	2
5aa50a4025b2c19113987f6a8da2e395	195.0	4
9904009a0e14e24b0a6e25eeeeff3e95	193.0	11
c78d813cd88bf015afb1aa393afed11b	193.0	1
39c6d814c12a3c89174161dbab51e99a	193.0	1
d4454a4ebd63a8e375dadd2632588f59	192.0	10
9282e20164736c7ada9bd98d04654b5e	192.0	4
1f5265cb1a10c92a2aa25ccc9feaa06d	191.0	3
ba60b411ea20ff6530909d7ec892cb75	191.0	2
1bc1f0e94c2e5c3f32e5b2746769efb4	189.0	2
b452284fca181520c11d087351ff43df	188.0	9
b1479e74e93e243fc221f7c8b415f507	188.0	4
d030e25bdceb2b3b7eadfbcbc59e0095	188.0	1
d6a526b572996ed919a3e009473bc860	187.0	7
f0e5268a1e321cec6068b1576162b042	186.0	6
5cbba1ec821d0d64b7e66f992ea80a4e	185.0	6
7fb08fa9b7b2eef6a3db57d0de769227	185.0	3
cca8bf9a60c7c98dfe391e3c06e32d7a	183.0	1
9ab553159491916f7ec21d283f82e7df	183.0	2
d5278c84ceca328330b2b932c3e705bd	181.0	10
d37c35f73fc21285f14723633ad2fbcd	179.0	4
25b60da8f1af462e61067fc3545e8efb	179.0	6
c0044f57ec04cd70905d690c5b7bd147	177.0	1
3525e8f55cd3355cc02bb9df648623e2	173.0	4
42060670426da942e8158ded54478b51	173.0	2
5e50a007ea9a7f83275157c158916fcc	172.0	3
c50f8f7363e0d4ae85b7fb73b42716c4	172.0	1
5d66e4011eca075a126ddc7ef27f5595	171.0	2
d8e9fc83a141d99fdf94970c85e4567f	169.0	2
e74d789f2a7651f2fa6395eba80d223d	169.0	3
ac4274f46d9ec670be0cfb4126304a8d	169.0	2
b9b73ca8379da3aa3f5f126e7e1ab70c	169.0	2
7ad394d61d61a814631950655009d828	168.0	7
df290d9760a79d7ee396f3e81e5f0872	167.0	2
645ad704bb17e791a05ee9cf57bfdcb6	167.0	5
85c44c83eddc5d3028261a1000b7d0e1	165.0	17
8e30d90ab88e96a55d9f006af4c56f38	165.0	1
33ddca6781100b91d670de9a543e5aa7	165.0	8
deeae5ebd73410f1931afba21ddc5f63	165.0	6
ca72a089674006d2e9cade617df3d5d7	164.0	13
d676e025fb7484f8c8f79dc642805d70	164.0	1
13e5e67a2599db5c3cdfa82c4c9ea6fd	162.0	2
47f770032218f91b352999ff1f663807	162.0	7
c90bb9a9b69bc7b89e1f071343185a3e	162.0	1
b4cf81c7acfe279300da8fd8a8ee9ab2	162.0	6
5da7c0bed285f1f8183dd5122446a371	162.0	2
bc02096829b47ea705b1410110098ddc	160.0	1
1f761e94c83ae87caff68f7dcd11e34c	159.0	2
cd3ae90584ca3993c86ea5dc7ca5d9fd	159.0	1
f117f249f9d1425f4ecfc792bd51c3f9	157.0	2
16d13ed513218adc8b205a10b716e08c	155.0	1
55f1425dbc00e661ff9db229421170cc	155.0	1
deba3ff7f7e05cdf6e1c4c8e5aa22d6d	154.0	6
ebebb5d11427e90b78b33f05cea24937	154.0	3
ab1e4aeddde9eb4e80144c135051d941	153.0	14
0be2b2840d439b1b8548e8010f8310e5	148.0	4
7c104699e795bbf45f90fceac906e6b4	145.0	2
f31544656066e44a96192ed782fc0844	145.0	1
963eff531673e1aa3a6b54db94920693	144.0	12
8ee04accfb5695ec1e26463487a9610f	144.0	2
d611e03044e800bf023cfc92bec2106a	143.0	6
41c54ddeccb5d2627a87232277c53792	142.0	5
4ded949417605dc274af460e82bdf8ee	141.0	1
63afe8e6aac58bf0d670a82ca5bc574c	140.0	1
ce7259b9e793f652dba0589910ba9e55	140.0	4
07fc5ebe2c107841b4361f203b23dd17	139.0	1
67cace988da16128368d1bda194c5f35	139.0	4
a62fa6e25e8805dafe5b628529c90023	138.0	7
e3f2349c6c2d5d5642946acfa7372c49	138.0	1
8249b99ba2d979e302500a2071f42677	138.0	1
3ddfa4f56f11311a815ee05ee43ddb81	136.0	1
8721da485a50a5918e02a8c9d6efb5b3	135.0	1
302f78f3ed2a95d333cdefefbc065c28	134.0	2
761e4ad90c41e70326c9de6f01660458	134.0	5
eba6ad448ed6a1fcd744350655065065	133.0	1
bea2245c01baedd6d4a6d6e4e857f9f6	132.0	5
54a2bfb0a96adc52c4ccca239ad01466	132.0	7
9effa566cc1cb4eeadec7cb0d861fcd8	132.0	1
d7ba72866bdb54b83b2fa063153b7beb	132.0	1
36ce67b3fecce277df99829617975495	130.0	7
cb4b471edb8caad64360dabf56805648	130.0	2
bb520a25037fe6c24024c4f8fc40b5b7	129.0	7
5bb2c16ddab6aa65e577d73de6292939	129.0	1
64c296ddb011fb2e7251ecadcb4a0148	129.0	1
5e581b06024ab980e25ee550e0b97247	127.0	11
970dd45e40cf8b847e2575fc1cb5a3eb	127.0	3
f79d0c7763fdbe8bbcff40da3a033520	127.0	2
15f9f1362adc49cd842b7237b2e311a7	127.0	1
17ae20a577370dc92154c6b1f5b2a5aa	126.0	4
c44cd59d00f705479b4dd827f84b3a10	126.0	2
db1996cad98b26253e25c90eaaa16670	126.0	1
8d7e1465fbc2323c5155ea4c76dd520c	125.0	11
d28051e65e0f1dbcd08546698d28d59b	125.0	2
1eaa3cb7baaac3220b0606e3621afd16	123.0	7
0bcbe0e56c6b6fa51103580f50f06290	123.0	1
ea161e484a53dae44be8608f5aaaa4c3	123.0	1
fc893e76f236bf322d40cee712ae93c2	123.0	8
2d0447008c3204f3ac97998db1edbbf2	123.0	2
a5252175a248379e412ae74ac96408e9	123.0	1
c5ed5baac8c4ff452a1e65a58e880bfa	122.0	7
3163811fefe44f0f7f6aae4332b3fa47	122.0	1
0fe77288058684beecd6bf7dfb6febb5	122.0	1
1900e8aeb6400849e6294cf82af2180d	121.0	5
01f1a5dc5eaa1448b3404d78a89e30c6	121.0	5
51d4f17b8dda9f7d972bf3dd0ecc4e59	120.0	5
9be145be27defd84836ae5d1a611fdd8	120.0	7
9b6acfb0708fe91f75081d6801659932	118.0	3
aae527ca12e9bda13c71ba43b7f7c075	118.0	1
cb7c9a82654d3ef267e1738cb0fe5569	118.0	3
d928656613b4779097fe27787daf1f5b	118.0	2
9bfaace04e07716564aa6e9e2d44283d	118.0	1
a6cab8835ce1753d683ae96c5c5bfcd2	118.0	1
2b06e6463d2b5a47fc5f7f428f9429c0	117.0	1
a06ae7b02fa410580027f2e681f59cf6	117.0	2
1739d8f19c1ac366a2138b64b03047a9	116.0	9
6beae6389f90d85acc08c35efddba919	116.0	1
533b6c05a74b2c25a94f884d6fe42f9d	115.0	3
c5619065fbb2332fe286b698e6b6c58d	114.0	1
605cc047d6200f294e043f8ce6cb5af7	110.0	10
e1b2b6ae4af6686429c21926cc0314a0	110.0	1
b20abc2c16ea643f1fe7ceb2e5db9d45	109.0	4
07fd92a29ce27a31f4d95c6821595530	109.0	3
f7c5bcb0ec148713bff4b57c4a1cedc0	109.0	2
8f4dea09ecd34aac65b4fdf5d1c37ff1	109.0	3
1a686a3ae9c21c7dc064fa84e61ac4ea	109.0	1
644fd07dc284e48b3f9bdbf76078fd2e	108.0	6
f35b00aec9a541d1f96cbdc1c6ae68a0	108.0	2
2b869347e522205f1c4a919196e6b45b	107.0	3
5edd946e0a26ae1c85ed8c498c328387	107.0	1
68e7e3599b8727dad8fb579a21279b55	107.0	3
350cd8e890b27c7fa7ec3a0d77dbaa9b	107.0	3
60614520ce7378162013d9e6054a37ef	106.0	6
2724c03777afbe627457f813998c91c4	106.0	1
6d914a702d3c71527cfb3484a6317810	105.0	8
ab2beabd5fb97a63cb213bf8a28534a0	105.0	3
6abe444a674a1d02d5f9036851699cc9	105.0	1
1a7a9d14747af9f14fcdabdef2549a77	104.0	9
aea2f8ad858377e27ba38fa585096892	104.0	1
d6516d1d205f60de54c457b7c9f06440	104.0	2
8e24b728fee4591e6e11403c00c617bc	101.0	4
d10cce3b32a23856c6a1b9e487f30bc1	100.0	3
9e75d15ba3717ca20d8aa45e3c4a6bab	99.0	2
10e608dbba12c4da32179ad865a83c14	99.0	1
91f0bfa8c51f250c466cda365f249c87	98.0	2
240fdca31693a4ace2c8f24a85af411a	98.0	8
abe9bc8c2ab006fc2959a823ad1dfcee	98.0	1
1473d0e067e22f5b3e209940fd4d0645	97.0	4
7e7a4855c881caf14f15c80f6012f231	97.0	1
6b5c5532185593c41966b2173ea9df1c	96.0	5
d931769f92b386b7e1210ba06ce72b9f	96.0	1
c08c41c826072dc8bb892e9305ac1a7b	96.0	2
e0f7bdf2974c6f61534b16e0886f6670	96.0	2
390e89520f9c5d73021e365114f1fab6	95.0	1
bee040b0942c767b368519c4706f8cdb	95.0	4
eac014721773d33a3b167d5295ee544d	95.0	2
2ea38044fe4a4b317d555d5302162bba	94.0	1
df1b3bf047800756c9c241fec7c05dde	94.0	2
7b25fe2a8e4d57a05ef403d1d0e831e2	93.0	3
de641e423b4a00fd0c6ae6fa5d27e866	93.0	4
ac11726e4c3f29d2e1beb38dc31eb68e	93.0	5
5c0eb2cc0831a4b7304ec1fa20756159	93.0	4
3cf79108f6368da06b4dce8375cfba0a	93.0	2
278c2a9599f0d608fc70845d26c6c722	92.0	1
7a80eb794179e899066579742bc71f18	92.0	11
eaa740d8046a0434a7d1a360341a1211	92.0	1
b506bf9f90923ddfb5747d615b9b32de	92.0	1
8646bffa210e3f061cc57f1b1cf2f751	91.0	3
e2927235f9e146498e0683f4c8b066fb	91.0	1
c36c7aa5e6c47fc763828a8add383940	90.0	2
093a62dd3c91d9112423cc01082db323	90.0	3
f7870a4e6cccb8a029cf6f0091c106f5	89.0	8
2cb1ff2f9d7a33605020b6fff33c71b8	89.0	3
cc7b0c4fe7613151aee46e9be3ea14a9	89.0	3
5c4815ed92f875a3f45999d9699578ab	88.0	2
cd604e575361dd5195144bf8e5007cb7	88.0	4
49095ce0b6df52a2d5d05beaf738494f	88.0	9
ee1783274bd16e3b9950d77594f27f9a	87.0	2
0aefb8063eaab894e5c4aa6ed1ece00c	87.0	4
d23447e1ff32e5ecca24ede2477207a8	87.0	1
3114d42cc9f862a2a18d7e5efde7fa9b	86.0	10
2a2b34830532f063cbbc1517e527b58f	86.0	6
4b390824ebb0af53b30f8dc094cbbf51	86.0	2
fea17f48e1092739216cf2fc3c82d98d	85.0	7
f94b14e11dfe405e48976839ca380380	84.0	9
6e2fd37637615a32e3fef33cfdf47e6d	84.0	1
888fd9a806b73525cc988a7b15f52e65	84.0	1
837f77de3338aaea4eba46470f2b3272	84.0	1
fb66063cf220d10deb17bcacd149229e	83.0	4
794c48d1c110499dbd6338457f2ed417	82.0	4
9b6b08a24a54e5b482f5a45e03dcb30e	82.0	2
bdb6ddef008a6d31c019642fb28d7c1d	82.0	1
47d0889740646fed0fb499be708c6df2	80.0	3
360b8779251bfde96f1165e5202f83d6	79.0	3
28d85c6990ac97a8cbe22863c8774096	79.0	5
7e11e91e66f4ceff6e509c5597aa5325	79.0	13
a1720628c4f47b9107208f814f56fcf5	78.0	1
6326f3883ecfa02452ebaa3af9c5d84c	78.0	2
b1956a37445160b890fb5a06a818c385	78.0	3
205f8255db56fbbc2c5999ed97063cab	77.0	3
7fae613f7cc102eb5599d1caa6893bb9	77.0	2
ae294d0eeda4b1244450fbcb30cfe221	77.0	1
1e8ab81f5afce970126716754dbd1257	77.0	1
d9c9a238a8889af781513696995fd927	77.0	1
813b29287429abb88694577a223559e5	77.0	1
a03032fb9dcb35ff650eaa2ecc5d7c18	77.0	1
c2a0dfdc889d7edea9e378721b09e102	77.0	1
36cf8ed4d566c9909dd9c7284999eadc	76.0	3
9ef0559ac4dffd54e7cec4e8b29a41c2	76.0	1
f46deaf5851879b6a8d849043a70f8f5	75.0	2
8c84feadf2c464b4e8ed09d73795510c	74.0	2
97d248a490046807a1b60920bd146ccd	74.0	1
5ba7487afaa27057b97712526ad3c2a4	73.0	1
1063e92b4acc17f22a826d2c79da73b9	73.0	4
a85414d00d7f63d6e200967b1ba7d397	73.0	2
43202fe954709a694e31c3a1be7e889b	72.0	1
eb53379cb35ad013020d43cf1c202ffc	72.0	2
a3738f297ddeee5f739572f65dcf5f58	72.0	1
3689d0c142e6b424206a35746952fca8	71.0	1
7dca629551822b1035983f977e158b13	71.0	4
a0115f7be2cdf7c0406ab0c287a85010	71.0	2
517ebad16a3cda8a9032a6a4b7ab699f	71.0	2
4936196363e4368f6bc17b13cb8ac364	71.0	1
2c3b179c770eca4dd9338a4d2c137202	70.0	5
cc6c06bae0a74dec62abdcb93c1414ab	70.0	2
3955270229e2e147050222701726b606	69.0	1
0ba1ab35f26bdef177c3341940c34c34	69.0	1
2bb77d3caa974dcace2ee0ced65975f9	69.0	1
4fb7173a0bd101e38c09021e75d9755a	69.0	1
db11ebab656f855d357867467f755ec1	69.0	1
656fc22d077cc5d6ef83285bcd081cbe	68.0	2
a9b24370bdb02a8ee91855de7b8b2813	68.0	1
f617597961320b2e15ebf9bb0e39d58e	68.0	2
55beed6d1a19ce34788b66488ffe3917	67.0	3
ad03570a6623c3fe543fb52f514b234f	67.0	3
94928715987dcb9638dd5c0e8f9b20f4	67.0	2
d9dcb4f2ff8fdce61402ffe0eaedf8cf	67.0	1
0081f9bbb620b603b00587a501f5e049	67.0	1
542209faab002c346c1951ffd77d2a47	66.0	1
9d4eb0396d0e34d9ef328a80e88e3b88	66.0	1
26f085ea92fdbbeedc72785b303f8455	65.0	3
04ac48241737d4f02b898a69df0b7cd8	65.0	1
2f8ad4365632e4a05d8897ac4ee70b3a	64.0	1
c2da7cc0247443dccd2e3d6a62f7be45	63.0	3
0e2573348777e55615736ca01785b7b4	63.0	4
d16d3d38776dc204eec317cd2c3aa8bb	63.0	1
cd9ca840390c8c0d54da8c1a984f2b37	63.0	1
d83f60183d81253a505beaeef3cd168f	62.0	7
10061e3064b2c3ceffd82a516d5917dc	62.0	1
732f61386b8757029b0891b0ddde928f	62.0	3
c5bbe83eefb639e05548b52ee3aae3c6	62.0	2
63b0aa11fed51fd962a1dd47a3c9c452	62.0	1
c12636eadd51f39fc336f44d4cfac7f5	61.0	6
e1e9710627e6cccde993966ab26d1e4b	61.0	1
3871809dff2f4008fbb39d40067b87d6	60.0	1
9b754da6875ad785a6e54b857470a076	60.0	1
c0d5395792eadbf5f62e8ffb14fa0262	59.0	5
f4bace87750c8c5b7697f61826634acb	59.0	2
821b8dffa873cb11e55c6ca0d55f93c2	58.0	5
8c8a105de3169d2d55fcb9cfc2f52cf9	58.0	5
ee40a31569d2f61e0ce62d48cd462610	58.0	2
417dbe51b8af2660702982e5da5f69d4	58.0	1
03b10adc566e93d23372c71edcf48b34	57.0	5
4ac43ecbe6347d46a2ab5a31ffd64c25	57.0	7
d989e7b35ee2deb2b4e575200416ef18	56.0	1
9cbf794b9c89435874fce22eba240120	55.0	3
9789571cf2ce60ab107ab8785423de77	55.0	1
aa0f1010cf4341c554c01eed7b5957a8	54.0	2
930afe0e90869cb1137f835ea9bcba47	54.0	1
1f0fe83d7aa1924758d32913eb08d435	54.0	1
079cc7cdc86ebd337c3c029754926677	54.0	1
fa2bd2f1500f2aadfa41c605e68f78c0	54.0	1
6b861b073aefd57927ceac668da9cc4c	54.0	4
76ceddd4de42ea101c36abb14288db9a	54.0	1
b600d65ed89ddbd1e326cd0b04be1d7a	53.0	4
f801c7a8ac9c5fbba79b652ac9d82a13	53.0	2
ab9b50c66ca449f4846c145e4d6d2aba	53.0	1
4ada3d8098e9706fcebb85f1e427fea6	53.0	2
996e60e2134a6c506d282dbbe8ff1805	53.0	1
08e78f74d2109bad6845fd1a904cb7a8	53.0	2
fb5c2aa7e7a97d1ba29b2c9405cb6a41	53.0	1
45aea834beb1b1b53d8db337520b771e	52.0	3
7d83997fd038ad2203827ffd32358dcc	52.0	1
44c5c348f4eb2a5e56bb526a271f46e5	51.0	4
ff777b9e72806d32569a96839f57f6c2	51.0	1
5dc4a87514f65e55bd373c1283e95fc4	51.0	2
79adb133c6ea5cc78c4a844872c6a8f0	51.0	2
69b2485a3eaeb0a3533624235c644e35	51.0	2
0f7b183901acd60418685b4fe37472c7	51.0	2
eaa8c65cb4ccf4c015caf9728e6e66fb	51.0	1
4f480409cf34da6fb985eaa1cf33a65b	50.0	5
fd2eb1fe2266eed160a855f715f7c77e	49.0	4
b044a86e33a67caceb0a9f59149747ac	49.0	1
6cce9922d65c4b649c6b35a233bd7dc2	49.0	1
e1f30b1b47f80404147cdeb7df90687b	48.0	5
efa1af4386010f7d05e16a663f32f792	48.0	3
859a4cdd33ae94db79e2d3b17a51bd9d	47.0	1
65057f7432d10c06a93825a2c04dccde	47.0	2
0daa15e327eb2bfc922a97c8931f236c	47.0	1
c532c2c02cdb1cec71b6500c5d6c2edf	47.0	7
736b63d30626fec4c4e8f8aafe1f743e	47.0	1
3a4a246cdaf2ee7e109536faef354a46	46.0	3
a9c65f22ab35a2635324961ee4e44023	46.0	1
13e63f8d805df08ef48d90648b7e488c	45.0	1
5737ecca376b9f8870712fcf09688b10	45.0	1
4a1c5fb315646700069f4c358a196b9f	44.0	2
dd58ceaeb61c0bf39551d392e9eea942	44.0	1
2a31fb1f367cdea6c268101b127e5ab3	44.0	2
bf2ea06eb5943686cedfe9f192fa1bc7	44.0	1
0b6eb991173d34102892489e05ecb868	44.0	2
3a2a7cb0fcf3f94a77afecb8c2ca949b	43.0	3
d67718f0b4b35258e5ba346d778c1e3b	43.0	1
d1dfa014363e0f9510af2b404d268409	42.0	1
9d583502f595e3a521989b645d50e327	42.0	1
5e2990e8ea901b1a6d8d6c6d04aa64e3	42.0	2
dddf3f4996401c070a8b7ad646f2620f	41.0	2
1c4f71b06ad9d613e117b633de27a107	41.0	1
51f5ecce966bb67afae2da7419008535	41.0	3
7da58db581819eaa58944eff8af7bbf3	40.0	1
2d88bef5acdb787ea01151589d421283	40.0	3
132653ab5f7eb792a316204b5c2f1f73	40.0	3
c7abd1a63bb3267e4664fac2cc169cfc	40.0	1
a1797bde05fdcb6f5aeab533c9386803	39.0	3
3290039fd88784322601684f21730a58	39.0	1
d955d96140fbba0ad2a2bb3e13e7440d	39.0	4
c6b90711837508687841b1d5cbff2f65	38.0	3
9dc3aaa8acf1ad6cbbedf45c76cbfdc6	38.0	1
0ed3a6836e138f14044f6950ad7280d2	38.0	3
08e99f06801c5a0f0d4f663b4597898d	38.0	2
1a4149271dd161efcb232040a7557166	38.0	1
98023210b1a5d20164f64c2fb64fed2d	37.0	1
6e9ac49ab03e8cf905432ad62df55c30	37.0	4
9c20f5721196085da313cad322d9054f	37.0	3
dcfe7efb53c5c513b826913504ccf0dc	37.0	1
2c4a66c7a92cce0fc49b7a477025b1ae	37.0	2
085dee215abccf2f32ea374738112739	37.0	2
366bb3ddd63d135bec172051cf2cfe0a	37.0	7
0fd0d931e539ae60c0fba2e5e7f05285	37.0	1
6186ddf37c1ac6991424e60b3a503d29	37.0	1
cd7fb34b8b187a4aca074f6c8b4e4511	37.0	1
9554cc3833549c23e480e5fe4990f4be	36.0	3
91a4a359c89df1285645d1853290d71f	36.0	1
6858f6b7c44843277067f70f40815f52	36.0	1
c664f648f475bfd863f78a957eebe65a	36.0	3
9661c408d03849548f118a5d7eddd146	36.0	1
c973e687a7befb9ba59a4245c59fe1ef	36.0	1
98389d4c0221f62f6af47e5ba63a4acd	36.0	1
9a76c2c2904fcae623e236b6818a712e	36.0	1
df1e3db8a1faf4439c34564e9698099a	35.0	3
0f603a9018080b298f6f858569d3b3e2	35.0	1
0c8c712659cf39aec314278ad552c0ed	35.0	3
069fb6adb4ea03817210b9fc87d5858e	35.0	1
ef1243f7818d1e35c1e968e8539173cf	35.0	2
d4451ce798c2c730d419f56fa16ca60e	35.0	2
b1223a374056c59531e36b82f9200e51	34.0	2
cf4a3714646f3c97bb3489da222228b7	34.0	2
cd5b7f7211526a4109099a6fd4b01aab	34.0	7
637179b0f9e57d5db65e9c6c3d218ffe	34.0	1
c28057f4aafee2b1b023e9bcef7a032b	34.0	2
a8f44cad27cf544c386bfdfc9265c4da	34.0	1
4f5efd25dacb5d639316e7291ff6ff8b	33.0	4
0b9bfdf64ae4d75efe841e54d6d5682f	33.0	1
c3e8496b70f7341450e298f29c5fa4e5	33.0	1
eaf982a878cca99dfffd2f22a3ace82c	33.0	1
cb9c616b9eb313c8d695508b507bf087	33.0	1
10d04714884a162520f0f12411962957	33.0	1
37f004671c936285c26471120596b2f5	33.0	1
504efe2f63f610a0f92e8cd040e2f916	32.0	1
81b0af5710b83eca45bef65a75f7794f	32.0	1
d8a42db5c61062f2a7b11fcdf03a65d5	32.0	2
dc41692600de807e3e76f265cdc14075	32.0	1
c92ac62278a485f343ab1c271bb2d30c	32.0	1
2799ad5c90e307f0e897fecda5a2924e	31.0	1
18165d4aed278d0f17ac4432707e7675	31.0	2
aeed7fbbb5ce03217542668a8a6bbf1c	30.0	1
8a4904bfdfdbf084ada26bb0e5131714	29.0	1
7751c6ba53e60a05648b7d333fed7634	29.0	1
820f6693f569e339f183638cd73a7fe6	29.0	3
4671c13ee0900508c3b4c82f68e09444	29.0	1
535c0035c8256175cc840f4170bb074c	29.0	1
8288851f251eebdef1f667427dc6ae0e	28.0	2
5a2676b27aa16876cffaca5a4dca4669	28.0	2
31ae90207edd94c7ec56db3a9778c2e7	28.0	2
78500a9f64f33ec04e40892a3f534176	28.0	3
a07dbd6b81597b810de81ac0ad6caf26	28.0	1
ca070986833cb76ab84070eb40df1975	28.0	2
26736c7ee02864e6bbab37424d69a4ed	27.0	1
06efa8e923453e1a7c2c1c40d7cdc42a	27.0	3
827d941bc9a201f014fb0a789f859ad5	27.0	5
2752d60ef0782208475d8606e6442aa9	27.0	1
5a995ef0ef454381562fe4d6909fa8d4	26.0	2
6d4fe16838ce84397bd418e10a2616d0	26.0	1
263dd27eecec232de5af17bd4f6de61b	26.0	2
ff9d93d7b7e46787568f2d241caeaf3b	26.0	2
eebc27bcf8bcb13a692001530892f5d5	25.0	1
c5ec23b5e73a33133aa0fcf9acd58650	25.0	4
c9345568a1a260b9226ed690c81c260f	25.0	1
47b098c7edc1e61aef6d211df51b8d96	25.0	1
e5a449858928f5c76ff9604cddd47110	25.0	1
923fed1e3a5c67f886eb287b585a924a	25.0	1
f998b55dc9b150b36030120a29c2f1f3	25.0	1
34b046035bd8b7b7b993b565249b1976	25.0	1
adb3b44f743586c33d9be6bd90d9dd1c	25.0	2
2dd4add86c5c9fb1b0217f078e831c10	25.0	1
97e58f0c921abc668728f78ee94f3d93	24.0	1
fd94fe8dd072f93b7ddbb7c8be8d995b	24.0	2
a7c367beef72574e1d66781545a0674a	24.0	1
6ff4463ed68f92afb01b5c1aca7a9fca	24.0	2
d6aca1ce3a8896b5a4ac550a4108ddd9	24.0	2
6fe15c78022c1b27688de5f58f793db8	23.0	3
99b35eca0da58ccf8b26089b66e013d4	23.0	1
