taxon	comparison	lfc	p_value	q_value	significant	direction
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	14d_vs_before	2.47288741142892	1.647069979980035e-07	3.007693006920064e-07	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	14d_vs_before	-0.7754110210733467	2.9955443838571224e-07	5.242202671749964e-07	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	14d_vs_before	-0.5796896120291588	6.859599320683676e-07	1.1524126858748577e-06	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	14d_vs_before	-1.2029671840039808	5.157905068376607e-05	8.332000495069903e-05	True	decreased
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	14d_vs_before	-0.6794882313025922	5.446870742054418e-05	8.472910043195761e-05	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	14d_vs_before	0.9317120147978768	6.913592255299193e-05	0.0001037038838294879	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	14d_vs_before	-0.3702044605558094	0.00023631436778916653	0.00034224839472913774	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	14d_vs_before	-0.5396427754974771	0.0062267154430026	0.0087174016202036	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	14d_vs_before	-0.594663846206411	0.0298291863060382	0.0404137362856002	True	decreased
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	14d_vs_before	0.5667331358048925	0.0486308670804068	0.0638280130430339	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	14d_vs_before	0.3038911373449461	0.0700321641909201	0.0891318453338984	False	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	14d_vs_before	0.3296796981902372	0.0912101412098702	0.1126713509063102	False	increased
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	14d_vs_before	-0.1781652534106554	0.2111749200264503	0.2534099040317404	False	decreased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	14d_vs_before	-0.249566171876168	0.2280226487252307	0.2660264235127692	False	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	14d_vs_before	-0.0897058535305307	0.5661383942398881	0.6426435826506838	False	decreased
d__Bacteria;p__Bacillota;c__Clostridia;__;__	14d_vs_before	0.0574318394975197	0.6838690876815827	0.7546698103513281	False	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	14d_vs_before	0.0620434753715776	0.7007648238976618	0.7546698103513281	False	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	14d_vs_before	0.1214611175911501	0.743803786416742	0.7657466771011446	False	increased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	14d_vs_before	0.110795822632059	0.7475146133606412	0.7657466771011446	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI	14d_vs_before	0.0185939937622379	0.912399114201704	0.912399114201704	False	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	30d_vs_before	5.743735781921085	3.406945953094363e-125	1.4309173002996323e-123	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	30d_vs_before	4.782750973810273	1.5738927890499046e-112	3.3051748570048e-111	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	30d_vs_before	-6.153099707947831	5.56332841236405e-57	7.78865977730967e-56	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	30d_vs_before	4.667774538236516	4.6241329306711e-54	4.855339577204656e-53	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	30d_vs_before	-5.7424695138750526	3.2437985944340057e-50	2.724790819324565e-49	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	30d_vs_before	3.1357170620549124	3.178530507262192e-47	2.2249713550835343e-46	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae	30d_vs_before	-3.4986863198111173	9.194242011369036e-41	5.516545206821422e-40	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	30d_vs_before	-1.6096877810511463	7.3200231463713535e-37	3.843012151844961e-36	True	decreased
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	30d_vs_before	-1.5422227351937137	3.3964899735923373e-34	1.5850286543430908e-33	True	decreased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	30d_vs_before	-4.271947462563464	1.2769542627190684e-32	5.363207903420088e-32	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	30d_vs_before	-1.225837034755095	2.434898704745591e-32	9.296885963574075e-32	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	30d_vs_before	-1.7716389103913486	3.663145926400543e-32	1.28210107424019e-31	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	30d_vs_before	-2.630689085514429	6.1216498774380154e-18	1.9777638065568968e-17	True	decreased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	30d_vs_before	-1.6772871159610658	2.826930914826236e-17	8.480792744478708e-17	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae	30d_vs_before	1.8757863772116896	1.6573281623034572e-16	4.64051885444968e-16	True	increased
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	30d_vs_before	-2.6300843237179548	2.427220203468092e-15	6.371453034103742e-15	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	30d_vs_before	2.2020387727929305	1.0889960220045516e-14	2.6904607602465393e-14	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	30d_vs_before	-1.1427613575916564	1.2961225284357425e-12	3.024285899683399e-12	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	30d_vs_before	1.9963376072181196	1.565911487353957e-12	3.461488550992958e-12	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	30d_vs_before	-1.3591837456591167	4.425615676552152e-12	9.293792920759519e-12	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	30d_vs_before	1.9115375121936489	1.0303637069113816e-10	2.060727413822763e-10	True	increased
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	30d_vs_before	-1.0528067888051158	1.8201090095218203e-10	3.3694515778417443e-10	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;__;__	30d_vs_before	-0.973465654089783	1.845175864056193e-10	3.3694515778417443e-10	True	decreased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	30d_vs_before	-1.7204638489918065	1.1903232876788076e-09	2.0830657534379142e-09	True	decreased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	30d_vs_before	1.4960970080283142	4.9671879859882506e-09	8.344875816460259e-09	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI	30d_vs_before	-1.031456000155244	2.7903278258373234e-08	4.507452641737214e-08	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	30d_vs_before	-0.8902229143527299	4.014302552128021e-08	6.244470636643587e-08	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	30d_vs_before	-0.8695597532849457	1.2253051833218422e-07	1.8379577749827634e-07	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	30d_vs_before	1.2589344405681553	1.6550686538976008e-07	2.3969959815068704e-07	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	30d_vs_before	1.3463162619248703	3.1043562169858124e-06	4.346098703780137e-06	True	increased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	30d_vs_before	1.6706248274723263	1.1856192641078565e-05	1.6063228739525793e-05	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	30d_vs_before	0.8208591909598426	0.00026046438404825616	0.00034185950406333623	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae	30d_vs_before	1.1022228214528558	0.0017668411842777	0.002248706961808	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	30d_vs_before	0.8426946796820216	0.0018716864865405	0.0023120833069029	True	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis	30d_vs_before	-0.5816973389201732	0.0026018858467415	0.0031222630160898	True	decreased
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	30d_vs_before	1.1999834651447006	0.0147829321341093	0.0172467541564608	True	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	30d_vs_before	0.4620817777869304	0.0208747904958059	0.0236957081303742	True	increased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	30d_vs_before	0.5772150889445431	0.0260403231250662	0.02878140976981	True	increased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	30d_vs_before	-0.5207282672678142	0.1220846948240412	0.1314758251951213	False	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	30d_vs_before	0.3072530772581863	0.2309235402677653	0.2424697172811536	False	increased
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	30d_vs_before	-0.3396249490042071	0.2552428728399412	0.2614683087628666	False	decreased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	30d_vs_before	-0.3395922484674141	0.3883058960732633	0.3883058960732633	False	decreased
